"Date Time, GMT-05:00",#,"Total: Motor on, Time on (sec) (LGR S/N: 20133267)"
2020-12-08 14:00:00,30.5,3540.0
2020-12-08 15:00:00,90.5,3600.0
2020-12-08 16:00:00,150.5,3600.0
2020-12-08 17:00:00,210.5,3600.0
2020-12-08 18:00:00,270.5,280.0
2020-12-08 19:00:00,330.5,0.0
2020-12-08 20:00:00,390.5,0.0
2020-12-08 21:00:00,450.5,0.0
2020-12-08 22:00:00,510.5,0.0
2020-12-08 23:00:00,570.5,0.0
2020-12-09 00:00:00,630.5,0.0
2020-12-09 01:00:00,690.5,0.0
2020-12-09 02:00:00,750.5,0.0
2020-12-09 03:00:00,810.5,0.0
2020-12-09 04:00:00,870.5,0.0
2020-12-09 05:00:00,930.5,335.0
2020-12-09 06:00:00,990.5,3600.0
2020-12-09 07:00:00,1050.5,3600.0
2020-12-09 08:00:00,1110.5,3600.0
2020-12-09 09:00:00,1170.5,3600.0
2020-12-09 10:00:00,1230.5,3600.0
2020-12-09 11:00:00,1290.5,3600.0
2020-12-09 12:00:00,1350.5,3600.0
2020-12-09 13:00:00,1410.5,3600.0
2020-12-09 14:00:00,1470.5,3600.0
2020-12-09 15:00:00,1530.5,3600.0
2020-12-09 16:00:00,1590.5,3600.0
2020-12-09 17:00:00,1650.5,3600.0
2020-12-09 18:00:00,1710.5,167.0
2020-12-09 19:00:00,1770.5,0.0
2020-12-09 20:00:00,1830.5,0.0
2020-12-09 21:00:00,1890.5,0.0
2020-12-09 22:00:00,1950.5,0.0
2020-12-09 23:00:00,2010.5,0.0
2020-12-10 00:00:00,2070.5,0.0
2020-12-10 01:00:00,2130.5,0.0
2020-12-10 02:00:00,2190.5,0.0
2020-12-10 03:00:00,2250.5,0.0
2020-12-10 04:00:00,2310.5,0.0
2020-12-10 05:00:00,2370.5,0.0
2020-12-10 06:00:00,2430.5,2527.0
2020-12-10 07:00:00,2490.5,3600.0
2020-12-10 08:00:00,2550.5,3600.0
2020-12-10 09:00:00,2610.5,3600.0
2020-12-10 10:00:00,2670.5,3600.0
2020-12-10 11:00:00,2730.5,3600.0
2020-12-10 12:00:00,2790.5,3600.0
2020-12-10 13:00:00,2850.5,3600.0
2020-12-10 14:00:00,2910.5,3600.0
2020-12-10 15:00:00,2970.5,3600.0
2020-12-10 16:00:00,3030.5,3600.0
2020-12-10 17:00:00,3090.5,3600.0
2020-12-10 18:00:00,3150.5,886.0
2020-12-10 19:00:00,3210.5,0.0
2020-12-10 20:00:00,3270.5,0.0
2020-12-10 21:00:00,3330.5,0.0
2020-12-10 22:00:00,3390.5,0.0
2020-12-10 23:00:00,3450.5,0.0
2020-12-11 00:00:00,3510.5,0.0
2020-12-11 01:00:00,3570.5,0.0
2020-12-11 02:00:00,3630.5,0.0
2020-12-11 03:00:00,3690.5,0.0
2020-12-11 04:00:00,3750.5,0.0
2020-12-11 05:00:00,3810.5,282.0
2020-12-11 06:00:00,3870.5,3600.0
2020-12-11 07:00:00,3930.5,3600.0
2020-12-11 08:00:00,3990.5,3600.0
2020-12-11 09:00:00,4050.5,3600.0
2020-12-11 10:00:00,4110.5,3600.0
2020-12-11 11:00:00,4170.5,3600.0
2020-12-11 12:00:00,4230.5,3600.0
2020-12-11 13:00:00,4290.5,3600.0
2020-12-11 14:00:00,4350.5,3600.0
2020-12-11 15:00:00,4410.5,3600.0
2020-12-11 16:00:00,4470.5,3600.0
2020-12-11 17:00:00,4530.5,3600.0
2020-12-11 18:00:00,4590.5,2489.0
2020-12-11 19:00:00,4650.5,0.0
2020-12-11 20:00:00,4710.5,0.0
2020-12-11 21:00:00,4770.5,0.0
2020-12-11 22:00:00,4830.5,0.0
2020-12-11 23:00:00,4890.5,0.0
2020-12-12 00:00:00,4950.5,0.0
2020-12-12 01:00:00,5010.5,0.0
2020-12-12 02:00:00,5070.5,0.0
2020-12-12 03:00:00,5130.5,0.0
2020-12-12 04:00:00,5190.5,0.0
2020-12-12 05:00:00,5250.5,0.0
2020-12-12 06:00:00,5310.5,0.0
2020-12-12 07:00:00,5370.5,0.0
2020-12-12 08:00:00,5430.5,0.0
2020-12-12 09:00:00,5490.5,0.0
2020-12-12 10:00:00,5550.5,0.0
2020-12-12 11:00:00,5610.5,0.0
2020-12-12 12:00:00,5670.5,0.0
2020-12-12 13:00:00,5730.5,0.0
2020-12-12 14:00:00,5790.5,0.0
2020-12-12 15:00:00,5850.5,0.0
2020-12-12 16:00:00,5910.5,0.0
2020-12-12 17:00:00,5970.5,0.0
2020-12-12 18:00:00,6030.5,0.0
2020-12-12 19:00:00,6090.5,0.0
2020-12-12 20:00:00,6150.5,0.0
2020-12-12 21:00:00,6210.5,0.0
2020-12-12 22:00:00,6270.5,0.0
2020-12-12 23:00:00,6330.5,0.0
2020-12-13 00:00:00,6390.5,0.0
2020-12-13 01:00:00,6450.5,0.0
2020-12-13 02:00:00,6510.5,0.0
2020-12-13 03:00:00,6570.5,0.0
2020-12-13 04:00:00,6630.5,0.0
2020-12-13 05:00:00,6690.5,0.0
2020-12-13 06:00:00,6750.5,0.0
2020-12-13 07:00:00,6810.5,0.0
2020-12-13 08:00:00,6870.5,0.0
2020-12-13 09:00:00,6930.5,0.0
2020-12-13 10:00:00,6990.5,0.0
2020-12-13 11:00:00,7050.5,0.0
2020-12-13 12:00:00,7110.5,0.0
2020-12-13 13:00:00,7170.5,0.0
2020-12-13 14:00:00,7230.5,0.0
2020-12-13 15:00:00,7290.5,0.0
2020-12-13 16:00:00,7350.5,0.0
2020-12-13 17:00:00,7410.5,0.0
2020-12-13 18:00:00,7470.5,0.0
2020-12-13 19:00:00,7530.5,0.0
2020-12-13 20:00:00,7590.5,0.0
2020-12-13 21:00:00,7650.5,0.0
2020-12-13 22:00:00,7710.5,0.0
2020-12-13 23:00:00,7770.5,0.0
2020-12-14 00:00:00,7830.5,0.0
2020-12-14 01:00:00,7890.5,0.0
2020-12-14 02:00:00,7950.5,0.0
2020-12-14 03:00:00,8010.5,0.0
2020-12-14 04:00:00,8070.5,0.0
2020-12-14 05:00:00,8130.5,0.0
2020-12-14 06:00:00,8190.5,2790.0
2020-12-14 07:00:00,8250.5,3600.0
2020-12-14 08:00:00,8310.5,3600.0
2020-12-14 09:00:00,8370.5,3600.0
2020-12-14 10:00:00,8430.5,3600.0
2020-12-14 11:00:00,8490.5,3600.0
2020-12-14 12:00:00,8550.5,3600.0
2020-12-14 13:00:00,8610.5,3600.0
2020-12-14 14:00:00,8670.5,3600.0
2020-12-14 15:00:00,8730.5,3600.0
2020-12-14 16:00:00,8790.5,3600.0
2020-12-14 17:00:00,8850.5,3384.0
2020-12-14 18:00:00,8910.5,0.0
2020-12-14 19:00:00,8970.5,0.0
2020-12-14 20:00:00,9030.5,0.0
2020-12-14 21:00:00,9090.5,0.0
2020-12-14 22:00:00,9150.5,0.0
2020-12-14 23:00:00,9210.5,0.0
2020-12-15 00:00:00,9270.5,0.0
2020-12-15 01:00:00,9330.5,0.0
2020-12-15 02:00:00,9390.5,0.0
2020-12-15 03:00:00,9450.5,0.0
2020-12-15 04:00:00,9510.5,0.0
2020-12-15 05:00:00,9570.5,0.0
2020-12-15 06:00:00,9630.5,1194.0
2020-12-15 07:00:00,9690.5,3600.0
2020-12-15 08:00:00,9750.5,3600.0
2020-12-15 09:00:00,9810.5,3600.0
2020-12-15 10:00:00,9870.5,3600.0
2020-12-15 11:00:00,9930.5,3600.0
2020-12-15 12:00:00,9990.5,3600.0
2020-12-15 13:00:00,10050.5,3600.0
2020-12-15 14:00:00,10110.5,3600.0
2020-12-15 15:00:00,10170.5,3600.0
2020-12-15 16:00:00,10230.5,3600.0
2020-12-15 17:00:00,10290.5,3600.0
2020-12-15 18:00:00,10350.5,559.0
2020-12-15 19:00:00,10410.5,0.0
2020-12-15 20:00:00,10470.5,0.0
2020-12-15 21:00:00,10530.5,0.0
2020-12-15 22:00:00,10590.5,0.0
2020-12-15 23:00:00,10650.5,0.0
2020-12-16 00:00:00,10710.5,0.0
2020-12-16 01:00:00,10770.5,0.0
2020-12-16 02:00:00,10830.5,0.0
2020-12-16 03:00:00,10890.5,0.0
2020-12-16 04:00:00,10950.5,0.0
2020-12-16 05:00:00,11010.5,0.0
2020-12-16 06:00:00,11070.5,2947.0
2020-12-16 07:00:00,11130.5,3600.0
2020-12-16 08:00:00,11190.5,3600.0
2020-12-16 09:00:00,11250.5,3600.0
2020-12-16 10:00:00,11310.5,3600.0
2020-12-16 11:00:00,11370.5,3600.0
2020-12-16 12:00:00,11430.5,3600.0
2020-12-16 13:00:00,11490.5,3600.0
2020-12-16 14:00:00,11550.5,3600.0
2020-12-16 15:00:00,11610.5,3600.0
2020-12-16 16:00:00,11670.5,3600.0
2020-12-16 17:00:00,11730.5,3600.0
2020-12-16 18:00:00,11790.5,373.0
2020-12-16 19:00:00,11850.5,0.0
2020-12-16 20:00:00,11910.5,0.0
2020-12-16 21:00:00,11970.5,0.0
2020-12-16 22:00:00,12030.5,0.0
2020-12-16 23:00:00,12090.5,0.0
2020-12-17 00:00:00,12150.5,0.0
2020-12-17 01:00:00,12210.5,0.0
2020-12-17 02:00:00,12270.5,0.0
2020-12-17 03:00:00,12330.5,0.0
2020-12-17 04:00:00,12390.5,0.0
2020-12-17 05:00:00,12450.5,0.0
2020-12-17 06:00:00,12510.5,2594.0
2020-12-17 07:00:00,12570.5,3600.0
2020-12-17 08:00:00,12631.5,3485.0
2020-12-17 09:00:00,12692.5,3600.0
2020-12-17 10:00:00,12752.5,3600.0
2020-12-17 11:00:00,12812.5,3600.0
2020-12-17 12:00:00,12872.5,3600.0
2020-12-17 13:00:00,12932.5,3600.0
2020-12-17 14:00:00,12992.5,3600.0
2020-12-17 15:00:00,13052.5,3600.0
2020-12-17 16:00:00,13112.5,3600.0
2020-12-17 17:00:00,13172.5,3428.0
2020-12-17 18:00:00,13232.5,0.0
2020-12-17 19:00:00,13292.5,0.0
2020-12-17 20:00:00,13352.5,0.0
2020-12-17 21:00:00,13412.5,0.0
2020-12-17 22:00:00,13472.5,0.0
